	ID	Kaltmiete	Zimmer	Quadratmeter	lat	lng
981	107601728	2150.0	3.0	130.0	52.513685753814975	13.30890496927263
982	107601764	2800.0	5.0	166.0	52.513685753814975	13.30890496927263
983	107601841	2165.0	3.0	108.0	52.45850589380036	13.376705068586013
984	107602020	2700.0	4.0	169.78	52.513685753814975	13.30890496927263
985	107602061	2750.0	3.0	130.0	52.513685753814975	13.30890496927263
986	107602674	9000.0	11.0	520.0	52.41737732905139	13.157647761722076
987	107603006	2000.0	4.5	157.0	52.476815528716884	13.311315577466994
988	107603809	1400.0	4.0	117.92	52.53504401703354	13.380818389066294
989	107603922	918.0	2.0	68.0	52.54783841780506	13.352499489080882
990	107603974	1360.0	3.0	85.0	52.462626247575294	13.343847646217428
991	107604036	993.12	3.0	82.76	52.44004327373565	13.570615524646671
992	107604310	750.0	2.0	79.0	52.541687163552474	13.205466586214529
993	107605386	705.55	2.0	66.94	52.592717189361565	13.378094886312528
994	107605807	1730.0	3.0	119.3	52.45850589380036	13.376705068586013
995	107605993	1055.0	3.0	78.0	52.45850589380036	13.376705068586013
996	107606133	770.0	3.0	84.89	52.61288538372443	13.426085785382652
997	107608208	548.0	2.0	57.61	52.460064378830005	13.527754310658088
998	107608669	865.0	2.0	58.0	52.45850589380036	13.376705068586013
999	107609050	686.0	2.0	65.9	52.589478683154915	13.401368643094074
1000	107610453	375.06	1.0	39.48	52.51999015531966	13.59986817827512
1001	107610777	782.18	3.0	75.94	52.45919497236064	13.575693426171313
1002	107613252	769.0	4.0	78.45	52.56751570387583	13.527117308188014
1003	107614797	436.76	1.0	40.07	52.564204096683255	13.205456864803944
1004	107616379	1995.0	3.0	128.66	52.52396837686225	13.407155784531628
1005	107617290	1865.0	3.0	141.27	52.52295379509512	13.348235623745476
1006	107617975	426.0	2.0	65.3	52.523338816413336	13.164336146369653
1007	107618446	578.34	1.0	37.0	52.5039299225594	13.383945065052641
1008	107618566	750.0	1.0	50.56	52.55331462229747	13.415367277598484
1009	107619246	1640.62	3.0	97.97	52.53435667547502	13.379928862814674
1010	107619281	1594.65	3.0	98.11	52.53435667547502	13.379928862814674
1011	107619317	1565.42	3.0	86.94	52.53464982720575	13.380878811535963
1012	107619360	2338.26	4.0	146.13	52.53436992498762	13.380109480707167
